system:index,count,theft_risk,.geo
+421757+149661,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77424168840781,26.88855274732234]}"
+421757+149736,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7741219130366,26.902057420426935]}"
+421758+149641,30,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77414586811085,26.88404320459606]}"
+421758+149766,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77433151993623,26.907507199817264]}"
+421759+149856,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77460101452147,26.923676874931413]}"
+421760+149671,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77469084604988,26.890439209418993]}"
+421760+149837,34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77464857238945,26.919502350964034]}"
+421760+149848,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77478067757829,26.922239570476822]}"
+421761+149650,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77496034063512,26.886576453697277]}"
+421762+149879,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77496034063512,26.927599518338738]}"
+421763+149619,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77525977906315,26.880976955092933]}"
+421763+149881,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77531966674876,26.9280786198236]}"
+421764+149623,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77549932980558,26.881815382691446]}"
+421764+149882,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77549932980558,26.928348114408834]}"
+421765+149681,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77567899286241,26.89214600845882]}"
+421766+149648,11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77589132192956,26.88601296501906]}"
+421766+149712,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77585865591924,26.897805394748772]}"
+421766+149735,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77573888054802,26.901877757370112]}"
+421766+149806,10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77571492547378,26.914514059033394]}"
+421767+149651,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77603831897605,26.886845948282513]}"
+421768+149687,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77612815050446,26.893313818328174]}"
+421768+149843,27,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77554590911662,26.92114162957401]}"
+421769+149832,217,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77709311498708,26.91798644087818]}"
+421770+149644,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77657730814653,26.885588306884745]}"
+421770+149669,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77648747661812,26.890079883305344]}"
+421770+149683,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77657730814653,26.89259516610088]}"
